 0.129708   2.382   0.537 -22.037   0.720   0.0000000009332  11.008    6.288
 0.129098   2.405   0.723 -22.741   0.758   0.0000000004188  11.352    7.238
 0.093526   2.136   0.513 -21.091   0.728   0.0000000027676  10.678    7.711
 0.090002   2.165   0.326 -21.009   0.751   0.0000000030438  10.759    5.901
 0.099862   2.264   0.364 -21.399   0.752   0.0000000019282  10.730    5.893
 0.097318   2.356   0.427 -21.483   0.776   0.0000000017434  10.913    8.130
 0.071668   2.231   0.347 -21.338   0.761   0.0000000020238  10.725    6.703
 0.166483   2.339   0.674 -22.439   0.789   0.0000000006050  11.217    7.171
 0.121979   2.319   0.838 -22.630   0.765   0.0000000004710  11.432    5.198
 0.122045   2.309   0.556 -21.861   0.794   0.0000000011406  10.969    7.047
 0.081846   2.252   0.353 -20.962   0.739   0.0000000031970  10.597    7.764
 0.103455   2.448   0.435 -21.391   0.835   0.0000000019524  10.733    6.063
 0.105595   2.365   0.538 -21.967   0.791   0.0000000009929  11.021    8.740
 0.102583   2.315   0.728 -22.318   0.782   0.0000000006585  11.233    8.849
 0.149796   2.419   0.958 -23.145   0.829   0.0000000002757  11.499    6.958
 0.150453   2.323   0.696 -22.110   0.744   0.0000000008722  10.994    6.312
 0.124645   2.317   0.496 -21.713   0.834   0.0000000013600  10.929    7.814
 0.122262   2.236   0.884 -22.177   0.807   0.0000000007877  11.159    6.281
 0.123220   2.351   0.531 -21.774   0.772   0.0000000012642  10.948    7.577
 0.193809   2.437   0.810 -23.055   0.805   0.0000000003137  11.342    6.174
 0.150176   2.342   0.543 -22.112   0.798   0.0000000008698  11.113    8.726
 0.124401   2.305   0.679 -22.188   0.774   0.0000000007793  11.110    6.731
 0.079320   2.197   0.275 -21.224   0.731   0.0000000023332  10.383    2.983
 0.072358   2.291   0.617 -21.458   0.745   0.0000000017559  10.851    7.563
 0.163448   2.422   0.668 -22.877   0.754   0.0000000003713  11.328    6.471
 0.129958   2.335   0.638 -22.133   0.772   0.0000000008345  10.979    6.578
 0.092084   2.191   0.702 -21.187   0.700   0.0000000024640  10.536    5.719
 0.091473   2.305   0.427 -21.784   1.043   0.0000000012169  10.812    6.403
 0.091903   2.338   0.424 -21.668   0.769   0.0000000013947  10.936    7.918
 0.122287   2.366   0.492 -21.612   0.750   0.0000000015293  10.913    7.896
 0.033534   2.066   0.185 -20.263   0.788   0.0000000072596  10.355    8.335
 0.156036   2.279   0.849 -22.789   0.672   0.0000000004061  10.905    2.068
 0.154170   2.427   0.649 -22.526   0.740   0.0000000005430  11.159    8.408
 0.124918   2.164   0.553 -21.593   0.742   0.0000000015671  10.790    8.774
 0.060898   1.981   0.592 -20.882   0.683   0.0000000034599  10.513    7.201
 0.193736   2.418   1.005 -23.334   0.783   0.0000000002342  11.541    6.914
 0.033899   2.215   0.370 -20.693   0.759   0.0000000042542  10.526    7.513
 0.123476   2.253   0.446 -21.966   0.752   0.0000000010089  10.974    7.204
 0.124273   2.360   0.839 -22.481   0.764   0.0000000005570  11.154    7.384
 0.157213   2.178   0.591 -22.227   0.592   0.0000000007655  10.612    2.402
 0.122815   2.331   0.727 -22.214   0.776   0.0000000007551  11.140    7.301
 0.123023   2.383   0.872 -22.769   0.767   0.0000000004042  11.427    8.794
 0.230400   2.467   0.963 -23.601   0.792   0.0000000001842  11.680    8.716
 0.147680   2.399   0.698 -22.182   0.843   0.0000000007997  11.347    7.596
 0.062799   2.170   0.479 -20.489   0.724   0.0000000056185  10.463    6.909
 0.136769   2.249   0.633 -21.862   0.748   0.0000000011537  10.950    7.568
 0.240690   2.302   1.324 -23.820   0.733   0.0000000001497  11.753    8.596
 0.095217   2.418   0.688 -22.394   0.782   0.0000000006004  11.216    7.665
 0.105843   2.179   0.459 -21.323   0.811   0.0000000021213  10.772    6.969
 0.103854   2.232   0.564 -21.878   0.749   0.0000000010996  10.968    6.856
 0.043691   2.180   0.024 -20.123   0.739   0.0000000087402  10.294   10.130
 0.146736   2.226   0.434 -22.064   0.671   0.0000000009172  10.981    6.485
 0.118709   2.193   0.679 -21.798   0.787   0.0000000012249  11.050    7.268
 0.142399   2.224   0.647 -22.210   0.751   0.0000000007706  11.119    8.251
 0.114493   2.298   0.425 -21.786   0.756   0.0000000012379  10.919    7.011
 0.123767   2.304   0.777 -22.372   0.764   0.0000000006301  11.215    8.592
 0.103759   2.281   0.584 -21.824   0.748   0.0000000011724  10.918    6.920
 0.104043   2.377   0.528 -22.036   0.730   0.0000000009138  10.984    6.403
 0.043715   2.177   0.555 -21.036   0.722   0.0000000028298  10.660    7.093
 0.189947   2.283   1.079 -23.022   0.738   0.0000000003241  11.437    8.517
 0.161972   2.388   0.792 -22.902   0.769   0.0000000003608  11.245    5.459
 0.049574   1.936   0.202 -19.676   0.728   0.0000000155809  10.064    8.076
 0.182095   2.443   0.727 -22.665   0.768   0.0000000004755  11.329    8.774
 0.104904   2.349   0.358 -21.302   0.743   0.0000000021721  10.773    8.543
 0.163428   2.377   0.783 -22.825   0.751   0.0000000003929  11.308    6.216
 0.160753   2.413   0.733 -22.915   0.779   0.0000000003553  11.376    7.083
 0.176561   2.292   0.669 -22.550   0.733   0.0000000005379  11.215    7.008
 0.105140   2.297   0.405 -21.772   0.784   0.0000000012483  10.937    6.212
 0.159177   2.344   0.892 -22.761   0.781   0.0000000004199  11.349    6.651
 0.160713   2.376   0.720 -22.760   0.713   0.0000000004206  11.325    5.396
 0.105819   2.342   0.340 -21.170   0.753   0.0000000025452  10.708    7.784
 0.074155   2.104   0.326 -20.652   0.676   0.0000000046385  10.449    7.788
 0.104328   2.209   1.002 -22.410   0.720   0.0000000005942  11.313    9.047
 0.125932   2.433   0.636 -22.340   0.794   0.0000000006544  11.223    7.998
 0.126256   2.258   0.548 -22.005   0.756   0.0000000009661  11.086    8.067
 0.058066   2.161   0.347 -21.311   0.747   0.0000000020654  10.749    7.521
 0.073464   2.218   0.394 -21.376   0.722   0.0000000019386  10.584    4.429
 0.201276   2.384   0.762 -22.883   0.801   0.0000000003798  11.377    7.114
 0.199936   2.437   0.948 -23.087   0.749   0.0000000003047  11.480    8.278
 0.192442   2.411   0.960 -23.117   0.782   0.0000000002933  11.525    8.318
 0.203270   2.378   0.903 -23.209   0.801   0.0000000002686  11.577    8.576
 0.102361   2.033   0.540 -21.376   0.667   0.0000000019870  10.694    6.359
 0.211291   2.489   1.335 -24.008   0.878   0.0000000001224  11.928    9.099
 0.208491   2.487   0.957 -23.043   0.750   0.0000000003216  11.445    7.021
 0.102477   2.309   0.388 -21.555   0.762   0.0000000016077  10.985    7.223
 0.102790   2.304   0.501 -21.774   0.776   0.0000000012433  10.955    8.680
 0.103035   2.255   0.459 -22.008   0.732   0.0000000009438  10.991    7.201
 0.189745   2.445   0.866 -22.916   0.781   0.0000000003631  11.418    9.380
 0.062224   2.114   0.719 -21.488   0.744   0.0000000016812  10.594    5.383
 0.115992   2.208   0.648 -21.869   0.774   0.0000000011231  10.971    6.902
 0.106166   2.209   0.309 -21.282   0.725   0.0000000022266  10.806    8.758
 0.106626   2.322   0.677 -21.852   0.762   0.0000000011373  10.954    7.856
 0.089525   2.232   0.197 -20.832   0.773   0.0000000037724  10.614    6.976
 0.107461   2.331   0.788 -22.665   0.748   0.0000000004476  11.321    6.202
 0.060700   2.168   0.518 -20.807   0.702   0.0000000037871  10.521    5.441
 0.157594   2.307   0.837 -22.793   0.715   0.0000000004049  11.329    7.415
 0.099931   2.279   0.561 -21.162   0.724   0.0000000025571  10.675    8.704
 0.108353   2.400   0.465 -21.517   0.811   0.0000000016900  10.892    7.359
 0.164947   2.411   0.752 -22.676   0.722   0.0000000004630  11.300    7.499
 0.099845   2.304   0.642 -21.851   0.750   0.0000000011315  10.957    6.639
 0.158982   2.384   0.749 -22.832   0.764   0.0000000003883  11.344    8.337
 0.183199   2.463   1.135 -23.493   0.812   0.0000000001979  11.691    8.929
 0.185401   2.432   1.156 -23.506   0.775   0.0000000001958  11.660    7.464
 0.075128   2.033   0.443 -20.637   0.729   0.0000000047260  10.405    6.073
 0.185885   2.410   0.672 -22.650   0.739   0.0000000004849  11.246    8.676
 0.161823   2.419   0.702 -22.830   0.797   0.0000000003901  11.401    7.612
 0.326677   2.492   1.360 -24.515   0.894   0.0000000000843  12.054    8.704
 0.042775   2.237   0.327 -20.699   0.745   0.0000000042547  10.507    8.258
 0.124961   2.397   0.778 -22.426   0.801   0.0000000005933  11.295    8.821
 0.183838   2.193   0.935 -22.662   0.698   0.0000000004778  11.232    9.790
 0.125327   2.396   0.691 -22.424   0.832   0.0000000005949  11.189    6.861
 0.122377   2.247   0.616 -22.339   0.692   0.0000000006538  11.010    4.824
 0.074339   2.265   0.515 -20.883   0.958   0.0000000034973  11.091    8.808
 0.155192   2.351   1.030 -22.969   0.764   0.0000000003340  11.372    6.249
 0.141049   2.298   0.702 -22.463   0.741   0.0000000005764  11.218    9.456
 0.195558   2.264   0.758 -22.803   0.706   0.0000000004128  11.445    9.410
 0.156130   2.367   0.515 -22.367   0.752   0.0000000006506  11.115    5.920
 0.106835   2.256   0.451 -21.423   0.747   0.0000000018853  10.786    9.028
 0.125312   2.504   1.083 -23.651   0.796   0.0000000001627  11.743    9.249
 0.071375   2.323   0.711 -22.064   0.794   0.0000000008606  11.120    8.670
 0.156170   2.360   0.773 -22.554   0.761   0.0000000005266  10.929    2.778
 0.068374   2.229   0.245 -21.027   0.741   0.0000000029239  10.502    5.603
 0.068333   2.395   0.496 -21.867   0.829   0.0000000010818  11.041    8.316
 0.072026   2.145   0.362 -21.023   0.727   0.0000000029455  10.659    8.714
 0.150119   2.491   0.658 -22.610   0.816   0.0000000004927  11.317    6.836
 0.067693   2.446   0.665 -22.355   0.789   0.0000000006133  11.237    8.445
 0.142898   2.374   0.797 -22.722   0.745   0.0000000004328  11.313    7.398
